gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
NFKB1	1238	NP_003989.2	CFLAR	4671	NP_003870.4
NFKB1	1238	NP_003989.2	NFKBIE	5181	NP_004547.2
NFKB1	1238	NP_003989.2	RELB	6886	NP_006500.2
NFKB1	1238	NP_003989.2	NFKBIB	7260	NP_002494.2
NFKB1	1238	NP_003989.2	FBXW11	7294	NP_036432.2
NFKB2	1239	NP_001070962.1	REL	1286	NP_002899.1
NFKB2	1239	NP_001070962.1	RPL30	1595	NP_000980.1
NFKB2	1239	NP_001070962.1	RPS13	1604	NP_001008.1
RUNX2	2566	NP_001019801.3	CBFB	418	NP_074036.1
NFKB2	1239	NP_001070962.1	MAP3K8	1863	NP_005195.2
NFKB2	1239	NP_001070962.1	DDX3X	2154	NP_001347.3
NFKB2	1239	NP_001070962.1	IKBKG	2217	NP_001093326.2
NFKB2	1239	NP_001070962.1	CHUK	2811	NP_001269.3
NFKB2	1239	NP_001070962.1	GLG1	2855	NP_036333.2
NFKB2	1239	NP_001070962.1	GTF2I	3399	NP_127492.1
NFKB2	1239	NP_001070962.1	IKBKB	4462	NP_001547.1
NFKB2	1239	NP_001070962.1	RPL6	4745	NP_000961.2
NFKB2	1239	NP_001070962.1	USP2	5287	NP_004196.4
NFKB2	1239	NP_001070962.1	NFKBIB	7260	NP_002494.2
CBFA2T2	4721	NP_005084.1	CBFB	418	NP_074036.1
NFKB2	1239	NP_001070962.1	TNIP2	18207	NP_077285.3
RELA	1241	NP_068810.3	REL	1286	NP_002899.1
RELA	1241	NP_068810.3	MAP3K8	1863	NP_005195.2
RELA	1241	NP_068810.3	BTK	2248	NP_000052.1
RELA	1241	NP_068810.3	STAT1	2777	NP_009330.1
RELA	1241	NP_068810.3	MAP2K6	3155	NP_002749.2
RELA	1241	NP_068810.3	STAT6	3302	NP_003144.3
RELA	1241	NP_068810.3	MAP3K7	4011	NP_663304.1
RELA	1241	NP_068810.3	IRF3	4769	NP_001562.1
RELA	1241	NP_068810.3	FAF1	5124	NP_008982.1
DLX2	527	NP_004396.1	MSX2	421	NP_002440.2
RELA	1241	NP_068810.3	NFKBIE	5181	NP_004547.2
RELA	1241	NP_068810.3	AKAP8	5258	NP_005849.1
RELA	1241	NP_068810.3	TBK1	5322	NP_037386.1
RELA	1241	NP_068810.3	ACTL6A	5389	NP_004292.1
RELA	1241	NP_068810.3	RELB	6886	NP_006500.2
RELA	1241	NP_068810.3	PPP2CA	8912	NP_002706.1
RELA	1241	NP_068810.3	TNIP2	18207	NP_077285.3
POU2F1	1250	NP_002688.2	STAT5A	3301	NP_003143.2
POU2F1	1250	NP_002688.2	STAT5B	5037	NP_036580.2
POU5F1	1252	NP_002692.2	AR	2437	NP_000035.2
MSX1	866	NP_002439.2	MSX2	421	NP_002440.2
ETS1	1260	NP_001137292.1	SP1	1796	NP_612482.2
ETS1	1260	NP_001137292.1	STAT6	3302	NP_003144.3
ETS1	1260	NP_001137292.1	SMAD3	4380	NP_005893.1
AKT1	1261	NP_005154.2	PIK3R1	1381	NP_852664.1
AKT1	1261	NP_005154.2	MST1R	2545	NP_002438.2
AKT1	1261	NP_005154.2	STAT1	2777	NP_009330.1
AKT1	1261	NP_005154.2	PRKDC	2941	NP_008835.5
AKT1	1261	NP_005154.2	ESR2	3390	NP_001428.1
AKT1	1261	NP_005154.2	HIST2H2BE	3494	NP_003519.1
AKT1	1261	NP_005154.2	PDK2	3955	NP_002602.2
LASP1	4229	AAH07560.1	ACTA1	30	NP_001091.1
GTF2F1	1803	NP_002087.2	MSX2	421	NP_002440.2
AKT1	1261	NP_005154.2	PAK1	3995	AAC24716.1
AKT1	1261	NP_005154.2	IKBKB	4462	NP_001547.1
AKT1	1261	NP_005154.2	APPL1	5053	NP_036228.1
AKT1	1261	NP_005154.2	RAB3D	5070	NP_004274.1
AKT1	1261	NP_005154.2	WNK1	5570	NP_061852.2
AKT2	1262	AAA36585.1	TSC2	1850	NP_000539.2
AKT2	1262	AAA36585.1	RAB3D	5070	NP_004274.1
BRAF	1264	NP_004324.2	BRAF	1264	NP_004324.2
BRAF	1264	NP_004324.2	MAPK1	1496	NP_002736.3
BRAF	1264	NP_004324.2	RAP1A	1545	NP_002875.1
GTF2F2	1804	NP_004119.1	MSX2	421	NP_002440.2
RAF1	1265	NP_002871.1	PRKCD	1501	NP_006245.2
RAF1	1265	NP_002871.1	MAP2K2	3164	NP_109587.1
RAF1	1265	NP_002871.1	SPRY2	3916	NP_005833.1
RAF1	1265	NP_002871.1	BAD	4409	NP_004313.1
CRK	1267	NP_058431.2	FLT1	1297	NP_002010.2
CRK	1267	NP_058431.2	PIK3R1	1381	NP_852664.1
CRK	1267	NP_058431.2	KDR	1867	NP_002244.1
CRK	1267	NP_058431.2	NTRK1	1869	NP_002520.2
CRK	1267	NP_058431.2	NCK1	2740	NP_006144.1
CRK	1267	NP_058431.2	SHC1	2780	NP_001123512.1
MAGED1	2202	NP_001005333.1	MSX2	421	NP_002440.2
CRK	1267	NP_058431.2	IRS2	2878	NP_003740.2
CRK	1267	NP_058431.2	STAT5A	3301	NP_003143.2
CRK	1267	NP_058431.2	STAT5B	5037	NP_036580.2
CRK	1267	NP_058431.2	FRS2	6372	NP_006645.3
FOSB	1270	NP_006723.2	JUND	1304	NP_005345.3
SKI	1271	NP_003027.1	GLI2	1312	NP_005261.2
FOS	1275	NP_005243.1	SMAD3	4380	NP_005893.1
WNT1	1276	NP_005421.1	LRP5	4616	NP_002326.2
WNT1	1276	NP_005421.1	LRP6	4617	NP_002327.2
WNT1	1276	NP_005421.1	WNT3A	5897	NP_149122.1
DLX5	2492	NP_005212.1	MSX2	421	NP_002440.2
MET	1280	NP_001120972.1	MET	1280	NP_001120972.1
MET	1280	NP_001120972.1	PIK3R1	1381	NP_852664.1
MET	1280	NP_001120972.1	PLCG1	1398	NP_002651.2
MET	1280	NP_001120972.1	CASP3	2799	NP_004337.2
MET	1280	NP_001120972.1	SPSB1	18106	NP_079382.2
FOXG1	1283	NP_005240.3	FOXH1	4689	NP_003914.1
VAV1	1284	NP_005419.2	TUBA4A	1851	NP_005991.1
VAV1	1284	NP_005419.2	TUBB	1852	NP_001060.1
VAV1	1284	NP_005419.2	DNM2	3852	NP_001005360.1
VAV1	1284	NP_005419.2	XRCC5	8935	NP_066964.1
RUNX2	2566	NP_001019801.3	MSX2	421	NP_002440.2
YES1	1285	NP_005424.1	KIT	1287	NP_000213.1
YES1	1285	NP_005424.1	PDGFRB	1423	NP_002600.1
YES1	1285	NP_005424.1	DOK1	4228	NP_001372.1
REL	1286	NP_002899.1	MAP3K8	1863	NP_005195.2
REL	1286	NP_002899.1	NFKBIB	7260	NP_002494.2
REL	1286	NP_002899.1	TNIP2	18207	NP_077285.3
KIT	1287	NP_000213.1	CBL	1320	NP_005179.2
KIT	1287	NP_000213.1	PRKCB	1499	NP_002729.2
KIT	1287	NP_000213.1	ABL1	1809	NP_009297.2
KIT	1287	NP_000213.1	BTK	2248	NP_000052.1
ZBTB17	4968	NP_003434.2	MSX2	421	NP_002440.2
KIT	1287	NP_000213.1	PIK3CG	3135	NP_002640.2
KIT	1287	NP_000213.1	STAT5A	3301	NP_003143.2
KIT	1287	NP_000213.1	CISH	3897	NP_037456.5
KIT	1287	NP_000213.1	PTPRU	3908	NP_005695.3
KIT	1287	NP_000213.1	STAT5B	5037	NP_036580.2
KIT	1287	NP_000213.1	CBLB	5136	NP_733762.2
KIT	1287	NP_000213.1	SOCS6	5491	NP_004223.2
KIT	1287	NP_000213.1	SOCS5	6159	NP_054730.1
KIT	1287	NP_000213.1	PLCE1	7087	NP_057425.3
KIT	1287	NP_000213.1	INPP5D	9033	NP_001017915.1
PIAS2	6944	NP_004662.2	MSX2	421	NP_002440.2
FGR	1288	NP_005239.1	DOK1	4228	NP_001372.1
FGF3	1289	NP_005238.1	FGFR2	1492	NP_075261.1
NOTCH4	1290	NP_004548.3	PSEN2	2860	NP_000438.2
NOTCH4	1290	NP_004548.3	MAML2	9608	NP_115803.1
NOTCH4	1290	NP_004548.3	MAML3	10066	NP_061187.2
FGF4	1294	NP_001998.1	FGFR2	1492	NP_075261.1
LYN	1301	NP_002341.1	TEC	2786	NP_003206.2
LYN	1301	NP_002341.1	CASP7	3457	NP_203124.1
LYN	1301	NP_002341.1	CRKL	3596	NP_005198.1
LYN	1301	NP_002341.1	CASP9	3756	NP_001220.2
SPEN	10230	NP_055816.2	MSX2	421	NP_002440.2
LYN	1301	NP_002341.1	DOK1	4228	NP_001372.1
LYN	1301	NP_002341.1	LIME1	7904	NP_060276.2
LYN	1301	NP_002341.1	PILRB	8382	AAG17224.1
JUN	1302	NP_002219.1	ELF3	3722	NP_004424.3
JUN	1302	NP_002219.1	NCOA2	9066	NP_006531.1
JUND	1304	NP_005345.3	MAPK1	1496	NP_002736.3
JUND	1304	NP_005345.3	MAPK3	3479	NP_002737.2
JUND	1304	NP_005345.3	SMAD3	4380	NP_005893.1
SPI1	1305	NP_001074016.1	NFATC1	2729	NP_765975.1
SPI1	1305	NP_001074016.1	PIP	7179	NP_002643.1
TAF9	15983	NP_003178.1	KPNA6	9465	NP_036448.1
GLI1	1311	NP_005260.1	DYRK1A	9018	NP_001387.2
CBL	1320	NP_005179.2	STAT5A	3301	NP_003143.2
CBL	1320	NP_005179.2	TRAF6	3833	NP_665802.1
CBL	1320	NP_005179.2	TNFRSF11A	4609	NP_003830.1
CBL	1320	NP_005179.2	STAT5B	5037	NP_036580.2
CBL	1320	NP_005179.2	LAT2	9304	NP_071323.1
CBL	1320	NP_005179.2	SH2B2	16097	NP_066189.3
RHOA	1323	NP_001655.1	PRKCZ	1504	NP_002735.3
RHOA	1323	NP_001655.1	DVL2	3690	NP_004413.1
PAX2	1330	NP_003981.2	ID2	2664	NP_002157.2
CRP	422	NP_000558.2	CRP	422	NP_000558.2
PAX2	1330	NP_003981.2	MAPK8IP1	5223	NP_005447.1
PAX5	1334	NP_057953.1	ID2	2664	NP_002157.2
PAX8	1335	NP_003457.1	ID2	2664	NP_002157.2
ALPL	1377	NP_000469.3	TRAF2	3538	NP_066961.2
ALPL	1377	NP_000469.3	TRAF3	3539	NP_663777.1
ALPL	1377	NP_000469.3	MAP3K14	5230	NP_003945.2
PIK3R1	1381	NP_852664.1	PDGFRA	1429	NP_006197.1
PIK3R1	1381	NP_852664.1	TGFBR2	1823	NP_001020018.1
PIK3R1	1381	NP_852664.1	TEC	2786	NP_003206.2
PIK3R1	1381	NP_852664.1	DNM1	3851	NP_004399.2
IQGAP1	4541	NP_003861.1	ACTA1	30	NP_001091.1
CFH	601	NP_000177.2	CRP	422	NP_000558.2
PIK3R1	1381	NP_852664.1	TLR2	4323	NP_003255.2
PIK3R1	1381	NP_852664.1	SOCS6	5491	NP_004223.2
PIK3R1	1381	NP_852664.1	SOCS7	12299	NP_055413.1
PIK3CA	1382	NP_006209.2	IRS2	2878	NP_003740.2
PIK3CA	1382	NP_006209.2	TICAM1	6350	NP_891549.1
PLCG1	1398	NP_002651.2	VIL1	1898	NP_009058.2
PLCG1	1398	NP_002651.2	BTK	2248	NP_000052.1
PLCG1	1398	NP_002651.2	NTRK2	2712	NP_006171.2
PLCG1	1398	NP_002651.2	SHC1	2780	NP_001123512.1
PLCG1	1398	NP_002651.2	TEC	2786	NP_003206.2
FN1	626	NP_997647.1	CRP	422	NP_000558.2
PLCG1	1398	NP_002651.2	DNM1	3851	NP_004399.2
PLCG1	1398	NP_002651.2	DOK1	4228	NP_001372.1
PLCG1	1398	NP_002651.2	GRAP	5062	NP_006604.1
PLCG1	1398	NP_002651.2	SH2D2A	5152	NP_003966.2
PLCG1	1398	NP_002651.2	BLNK	5153	NP_037446.1
PLCG1	1398	NP_002651.2	DAPP1	5773	NP_055210.2
PLCG1	1398	NP_002651.2	INPP5D	9033	NP_001017915.1
PDGFRB	1423	NP_002600.1	TYK2	1490	NP_003322.3
PDGFRB	1423	NP_002600.1	ARAF	2405	NP_001645.1
PDGFRB	1423	NP_002600.1	PRDX2	2763	NP_005800.3
HIST1H1A	820	NP_005316.1	CRP	422	NP_000558.2
PDGFRB	1423	NP_002600.1	STAT1	2777	NP_009330.1
PDGFRB	1423	NP_002600.1	STAT5A	3301	NP_003143.2
PDGFRB	1423	NP_002600.1	GRB7	3311	NP_005301.2
PDGFRB	1423	NP_002600.1	STAT5B	5037	NP_036580.2
PDGFRB	1423	NP_002600.1	GAB1	5116	NP_997006.1
PDGFRB	1423	NP_002600.1	SYNGAP1	16018	NP_006763.2
PDGFRA	1429	NP_006197.1	STAT1	2777	NP_009330.1
PDGFRA	1429	NP_006197.1	STAT5A	3301	NP_003143.2
PDGFRA	1429	NP_006197.1	STAT5B	5037	NP_036580.2
APC	1439	NP_000029.2	GSK3B	5418	NP_002084.2
FCGR1A	904	NP_000557.1	CRP	422	NP_000558.2
APC	1439	NP_000029.2	PPP2CA	8912	NP_002706.1
EIF2AK2	1468	NP_002750.1	MAP3K7	4011	NP_663304.1
EIF2AK2	1468	NP_002750.1	MAP3K7IP2	5483	NP_055908.1
MAP2K1	1469	NP_002746.1	PRKCZ	1504	NP_002735.3
MAP2K1	1469	NP_002746.1	PRKCI	2105	NP_002731.4
MAP2K1	1469	NP_002746.1	ELK1	2407	NP_005220.2
MAP2K1	1469	NP_002746.1	MAPK14	2619	NP_001306.1
MAP2K1	1469	NP_002746.1	TRAF6	3833	NP_665802.1
PTPN11	1470	NP_002825.3	PTPN6	1475	NP_536859.1
PTPN11	1470	NP_002825.3	SOS1	1681	NP_005624.2
FCGR2A	906	NP_001129691.1	CRP	422	NP_000558.2
PTPN11	1470	NP_002825.3	NTRK1	1869	NP_002520.2
PTPN11	1470	NP_002825.3	NTRK2	2712	NP_006171.2
PTPN11	1470	NP_002825.3	CHUK	2811	NP_001269.3
PTPN11	1470	NP_002825.3	PIK3CG	3135	NP_002640.2
PTPN11	1470	NP_002825.3	MAPK3	3479	NP_002737.2
PTPN11	1470	NP_002825.3	PILRB	8382	AAG17224.1
PTPN6	1475	NP_536859.1	CD247	1729	NP_932170.1
PTPN6	1475	NP_536859.1	JAK3	2547	NP_000206.2
PTPN6	1475	NP_536859.1	SHC1	2780	NP_001123512.1
PTPN6	1475	NP_536859.1	STAT6	3302	NP_003144.3
SNRNP70	1617	NP_003080.2	CRP	422	NP_000558.2
PTPN6	1475	NP_536859.1	TRAF6	3833	NP_665802.1
PTPN6	1475	NP_536859.1	TLR10	5884	NP_112218.2
PRKAR2A	1484	NP_004148.1	SMAD4	2995	NP_005350.1
PRKAR2A	1484	NP_004148.1	SMAD3	4380	NP_005893.1
PRKAR1B	1485	NP_002726.1	SMAD4	2995	NP_005350.1
PRKAR1B	1485	NP_002726.1	SMAD3	4380	NP_005893.1
TYK2	1490	NP_003322.3	STAT2	2778	NP_005410.1
FGFR2	1492	NP_075261.1	FGF8	2727	NP_149353.1
FGFR2	1492	NP_075261.1	PTK2B	3131	NP_004094.3
FGFR2	1492	NP_075261.1	FGF17	4765	NP_003858.1
FCGR2B	6849	NP_003992.3	CRP	422	NP_000558.2
FGFR2	1492	NP_075261.1	FGF18	4766	NP_387498.1
FGFR2	1492	NP_075261.1	FGF23	5648	NP_065689.1
FGFR2	1492	NP_075261.1	PAK4	5675	NP_005875.1
EPHA2	1494	NP_004422.2	CDH5	3075	NP_001786.2
EPHA2	1494	NP_004422.2	CLDN4	4218	NP_001296.1
ZAP70	1495	NP_001070.2	TUBB	1852	NP_001060.1
ZAP70	1495	NP_001070.2	WIPF1	3835	NP_003378.3
ZAP70	1495	NP_001070.2	CARD11	6234	NP_115791.3
ZAP70	1495	NP_001070.2	LAX1	8312	NP_060243.2
ZAP70	1495	NP_001070.2	DEF6	10869	NP_071330.3
HIST1H2AL	9103	NP_003502.1	CRP	422	NP_000558.2
MAPK1	1496	NP_002736.3	GATA1	2372	NP_002040.1
MAPK1	1496	NP_002736.3	AR	2437	NP_000035.2
MAPK1	1496	NP_002736.3	CAV1	3028	NP_001744.2
MAPK1	1496	NP_002736.3	TGIF1	4023	NP_733796.2
MAPK1	1496	NP_002736.3	SH2D3C	5284	NP_733745.1
MAPK1	1496	NP_002736.3	PAK2	5428	NP_002568.2
MAPK1	1496	NP_002736.3	PLCB1	6177	NP_056007.1
MAPK1	1496	NP_002736.3	FRS2	6372	NP_006645.3
MAPK1	1496	NP_002736.3	FCGR2B	6849	NP_003992.3
MAPK1	1496	NP_002736.3	PPP2CA	8912	NP_002706.1
GP6	10406	BAB12247.1	CRP	422	NP_000558.2
MAPK1	1496	NP_002736.3	PPP1CA	15942	NP_001008709.1
MAPK1	1496	NP_002736.3	CMTM3	16259	NP_653202.1
MAPK4	1497	NP_002738.2	GAB1	5116	NP_997006.1
MAPK4	1497	NP_002738.2	GAB2	5866	NP_036428.1
PRKCA	1498	NP_002728.1	DVL2	3690	NP_004413.1
PRKCB	1499	NP_002729.2	RB1	1574	NP_000312.2
PRKCB	1499	NP_002729.2	CHUK	2811	NP_001269.3
PRKCB	1499	NP_002729.2	DVL2	3690	NP_004413.1
PRKCB	1499	NP_002729.2	IFNAR2	3850	NP_997468.1
PRKCB	1499	NP_002729.2	IKBKB	4462	NP_001547.1
TAF9	15983	NP_003178.1	RNF138	11508	NP_057355.2
PRKCB	1499	NP_002729.2	CARD11	6234	NP_115791.3
PRKCD	1501	NP_006245.2	SRC	1819	NP_005408.1
PRKCG	1502	NP_002730.1	DVL2	3690	NP_004413.1
GNB2L1	1503	NP_006089.1	GABRB3	8844	NP_068712.1
PRKCZ	1504	NP_002735.3	STAT6	3302	NP_003144.3
PRKCZ	1504	NP_002735.3	GSK3B	5418	NP_002084.2
PRKCZ	1504	NP_002735.3	GSK3A	6002	NP_063937.2
RAB4A	1541	NP_004569.2	PRKCI	2105	NP_002731.4
RAB4A	1541	NP_004569.2	MAPK3	3479	NP_002737.2
RAB5A	1542	NP_004153.2	APPL1	5053	NP_036228.1
FSCN1	4068	NP_003079.1	ACTC1	15	NP_005150.1
CCIN	4907	NP_005884.2	ACTA1	30	NP_001091.1
CKM	426	NP_001815.2	CKB	423	NP_001814.2
RAB5A	1542	NP_004153.2	APPL2	6945	NP_060641.2
RAP1A	1545	NP_002875.1	BMX	2111	NP_975010.1
RAP1A	1545	NP_002875.1	TCEB3	2873	NP_003189.2
RAP1A	1545	NP_002875.1	HDAC1	3143	NP_004955.2
RAP1A	1545	NP_002875.1	BIN1	3150	NP_647593.1
RAP1A	1545	NP_002875.1	FADD	3909	NP_003815.1
RAP1A	1545	NP_002875.1	SMARCA4	4459	NP_001122321.1
RAP1A	1545	NP_002875.1	TNFRSF10C	4681	NP_003832.2
RAP1A	1545	NP_002875.1	FAF1	5124	NP_008982.1
RAP1A	1545	NP_002875.1	RASGRP2	9278	NP_005816.2
TAF9	15983	NP_003178.1	UBA1	2440	NP_003325.2
RAP1B	1546	NP_056461.1	RAPGEF1	2627	NP_941372.1
RB1	1574	NP_000312.2	ID2	2664	NP_002157.2
RB1	1574	NP_000312.2	CDK6	4533	NP_001250.1
RBL2	1576	NP_005602.3	ID2	2664	NP_002157.2
RPL30	1595	NP_000980.1	MAP3K14	5230	NP_003945.2
RPS11	1599	NP_001006.1	MAP3K14	5230	NP_003945.2
RPS13	1604	NP_001008.1	MAP3K14	5230	NP_003945.2
RPL4	1607	NP_000959.2	MAP3K14	5230	NP_003945.2
DDX5	1615	NP_004387.1	NCOA3	3570	NP_858045.1
DDX5	1615	NP_004387.1	NCOA1	4070	NP_003734.3
TBP	2511	NP_003185.1	EMID2	16405	NP_597714.2
DDX5	1615	NP_004387.1	NCOA2	9066	NP_006531.1
SOS1	1681	NP_005624.2	EPS8	2563	NP_004438.3
SOS1	1681	NP_005624.2	PIK3R2	4404	NP_005018.1
SOS1	1681	NP_005624.2	RANBP9	4835	NP_005484.2
SOS1	1681	NP_005624.2	LAT2	9304	NP_071323.1
SPTAN1	1684	NP_001123910.1	CASP3	2799	NP_004337.2
SREBF1	1701	NP_001005291.1	ESR2	3390	NP_001428.1
NR5A1	1702	NP_004950.2	AR	2437	NP_000035.2
CD247	1729	NP_932170.1	PTPN3	6767	NP_002820.3
PSMC3	1733	NP_002795.2	TRAF6	3833	NP_665802.1
CKMT1B	424	NP_066270.1	CKMT1B	424	NP_066270.1
ITK	1746	NP_005537.3	PLCG2	2570	AAH11772.1
TERT	1754	NP_003210.1	MTOR	3134	NP_004949.1
TERT	1754	NP_003210.1	RPS6KB1	10202	NP_003152.1
SP1	1796	NP_612482.2	VHL	1905	NP_000542.1
SP1	1796	NP_612482.2	AR	2437	NP_000035.2
SP1	1796	NP_612482.2	SMAD4	2995	NP_005350.1
SP1	1796	NP_612482.2	SMAD3	4380	NP_005893.1
CEBPB	1801	NP_005185.2	HOMER3	7270	NP_004829.3
ABL1	1809	NP_009297.2	TRAF6	3833	NP_665802.1
HRAS	1813	NP_005334.1	PRKCI	2105	NP_002731.4
SLC25A5	2147	NP_001143.2	CKMT1B	424	NP_066270.1
HRAS	1813	NP_005334.1	TLR2	4323	NP_003255.2
HRAS	1813	NP_005334.1	TLR9	5685	NP_059138.1
HRAS	1813	NP_005334.1	RHOD	5776	NP_055393.1
FES	1814	NP_001996.1	JAK3	2547	NP_000206.2
FES	1814	NP_001996.1	IRS2	2878	NP_003740.2
FES	1814	NP_001996.1	DOK1	4228	NP_001372.1
MYC	1818	NP_002458.2	ELF3	3722	NP_004424.3
SRC	1819	NP_005408.1	CHUK	2811	NP_001269.3
SRC	1819	NP_005408.1	STAT6	3302	NP_003144.3
SRC	1819	NP_005408.1	ESR2	3390	NP_001428.1
VDAC1	5137	NP_003365.1	CKMT1B	424	NP_066270.1
SRC	1819	NP_005408.1	TRAF1	3418	NP_005649.1
SRC	1819	NP_005408.1	TRAF3	3539	NP_663777.1
SRC	1819	NP_005408.1	DOK1	4228	NP_001372.1
SRC	1819	NP_005408.1	IKBKB	4462	NP_001547.1
SRC	1819	NP_005408.1	TNFRSF11A	4609	NP_003830.1
SRC	1819	NP_005408.1	SH2D3C	5284	NP_733745.1
SRC	1819	NP_005408.1	FRS2	6372	NP_006645.3
TGFBR1	1822	NP_004603.1	SMAD6	4240	NP_005576.3
TGFBR1	1822	NP_004603.1	TRAP1	5868	NP_057376.2
TGFBR2	1823	NP_001020018.1	AP2B1	3015	AAH06201.1
TBP	2511	NP_003185.1	CXXC1	10852	AAH15733.1
TGFBR2	1823	NP_001020018.1	PIK3R2	4404	NP_005018.1
TGFBR2	1823	NP_001020018.1	TRAP1	5868	NP_057376.2
NOTCH1	1827	NP_060087.3	MEF2C	2809	NP_002388.2
NOTCH1	1827	NP_060087.3	PSEN2	2860	NP_000438.2
NOTCH1	1827	NP_060087.3	BLOC1S1	3263	NP_001478.1
NOTCH1	1827	NP_060087.3	EP300	4078	NP_001420.2
NOTCH1	1827	NP_060087.3	NUMBL	4931	NP_004747.1
NOTCH1	1827	NP_060087.3	POFUT1	6319	NP_056167.1
TSC2	1850	NP_000539.2	AKT3	6441	NP_005456.1
TNF	1855	NP_000585.2	TNFRSF1A	1861	NP_001056.1
TBP	2511	NP_003185.1	FATE1	2346	NP_149076.1
TNF	1855	NP_000585.2	TNFRSF1B	1862	NP_001057.1
TNFAIP3	1857	NP_006281.1	RIPK1	4583	NP_003795.2
TNFAIP3	1857	NP_006281.1	TICAM1	6350	NP_891549.1
TP53	1859	NP_000537.3	CD40LG	2311	NP_000065.1
TP53	1859	NP_000537.3	SMAD2	3221	NP_005892.1
TP53	1859	NP_000537.3	SMAD3	4380	NP_005893.1
HSP90B1	1860	NP_003290.1	TLR1	3119	NP_003254.2
TNFRSF1A	1861	NP_001056.1	FANCD2	1968	NP_149075.2
TNFRSF1A	1861	NP_001056.1	PTK2	2859	NP_005598.3
TNFRSF1B	1862	NP_001057.1	FANCD2	1968	NP_149075.2
TBP	2511	NP_003185.1	HAP1	2972	NP_003940.3
MAP3K8	1863	NP_005195.2	TRAF6	3833	NP_665802.1
KDR	1867	NP_002244.1	SYNGAP1	16018	NP_006763.2
NTRK1	1869	NP_002520.2	SHC1	2780	NP_001123512.1
NTRK1	1869	NP_002520.2	SQSTM1	3319	NP_003891.1
NTRK1	1869	NP_002520.2	MAPK3	3479	NP_002737.2
NTRK1	1869	NP_002520.2	DNAJA3	9758	NP_005138.3
NTRK1	1869	NP_002520.2	SH2B2	16097	NP_066189.3
VHL	1905	NP_000542.1	POLR2G	15995	NP_002687.1
WEE1	1907	NP_003381.1	CASP3	2799	NP_004337.2
NCF1	1990	NP_000256.3	PAK1	3995	AAC24716.1
TFCP2	1790	NP_005644.2	COIL	2605	NP_004636.1
NCF1	1990	NP_000256.3	WASF1	5434	NP_003922.1
GLDC	1996	NP_000161.2	TLR10	5884	NP_112218.2
FLNA	2060	NP_001104026.1	TLR10	5884	NP_112218.2
USP11	2081	NP_004642.2	RELB	6886	NP_006500.2
PRKCI	2105	NP_002731.4	IRAK1	2235	NP_001560.2
PRKCI	2105	NP_002731.4	CHUK	2811	NP_001269.3
PPP6C	2141	NP_001116827.1	NFKBIE	5181	NP_004547.2
PAK3	2142	NP_001121640.1	NCK1	2740	NP_006144.1
FHL1	2157	NP_001440.2	HIVEP3	9442	NP_078779.2
AIFM1	2161	NP_004199.1	CASP3	2799	NP_004337.2
PCYT1B	5376	NP_004836.2	ACTA1	30	NP_001091.1
CKM	426	NP_001815.2	CKM	426	NP_001815.2
IKBKG	2217	NP_001093326.2	BIRC2	3419	NP_001157.1
IKBKG	2217	NP_001093326.2	CASP8	3459	NP_001073594.1
IKBKG	2217	NP_001093326.2	FADD	3909	NP_003815.1
IKBKG	2217	NP_001093326.2	UBE2D3	4269	NP_871622.1
IKBKG	2217	NP_001093326.2	TBK1	5322	NP_037386.1
IKBKG	2217	NP_001093326.2	GSK3B	5418	NP_002084.2
IKBKG	2217	NP_001093326.2	CARD11	6234	NP_115791.3
IKBKG	2217	NP_001093326.2	HSP90AB1	6763	NP_031381.2
IKBKG	2217	NP_001093326.2	NFKBIB	7260	NP_002494.2
IKBKG	2217	NP_001093326.2	RALBP1	9013	NP_006779.1
FHL2	4026	NP_001441.4	CKM	426	NP_001815.2
IKBKG	2217	NP_001093326.2	TXLNA	9408	NP_787048.1
HDAC6	2228	NP_006035.2	EP300	4078	NP_001420.2
HDAC6	2228	NP_006035.2	RELB	6886	NP_006500.2
IRAK1	2235	NP_001560.2	BTK	2248	NP_000052.1
IRAK1	2235	NP_001560.2	TRAF4	3915	NP_004286.2
IRAK1	2235	NP_001560.2	MAP3K7	4011	NP_663304.1
IRAK1	2235	NP_001560.2	TLR4	4325	NP_612564.1
IRAK1	2235	NP_001560.2	RIPK2	4585	NP_003812.1
IRAK1	2235	NP_001560.2	IRF7	5441	NP_004022.2
CRYAB	428	NP_001876.1	CRYAA	427	NP_000385.1
IRAK1	2235	NP_001560.2	NLRP12	14803	NP_653288.1
BTK	2248	NP_000052.1	TLR8	2296	NP_057694.2
BTK	2248	NP_000052.1	MYD88	3703	NP_002459.2
BTK	2248	NP_000052.1	PIP5K1B	4121	NP_001026857.1
BTK	2248	NP_000052.1	TLR4	4325	NP_612564.1
BTK	2248	NP_000052.1	PIP4K2B	4463	NP_003550.1
BTK	2248	NP_000052.1	PIP5K1A	4470	AAC50911.1
BTK	2248	NP_000052.1	TNFRSF10A	4679	NP_003835.3
BTK	2248	NP_000052.1	TLR6	5656	NP_006059.2
BTK	2248	NP_000052.1	TLR9	5685	NP_059138.1
CRYBB2	430	NP_000487.1	CRYAA	427	NP_000385.1
BTK	2248	NP_000052.1	PIP5K1C	5834	NP_036530.1
BTK	2248	NP_000052.1	TIRAP	5878	AAH32474.1
